"Key","Status"
"theme-message","Needs categorization"
"About Us","Needs categorization"
"Contact Us","Needs categorization"
"Login/Sign-up","Needs categorization"
"Therapeutic Area","Needs categorization"
"Help Center","Needs categorization"
"How It Works","Needs categorization"
"Enter Your Password","Needs categorization"
"Don???t have an account?","Needs categorization"
"Already have an account?","Needs categorization"
"Personal Information","Needs categorization"
"Full Name","Needs categorization"
"Last Name","Needs categorization"
"date","Needs categorization"
"Enter Your Registered Email Address","Needs categorization"
"New Password","Needs categorization"
"Language Spoken","Needs categorization"
"Medical History","Needs categorization"
"Blood Type","Needs categorization"
"Are You A Regular Smoker?","Needs categorization"
"Choose Registration Type","Needs categorization"
"Register as Patient","Needs categorization"
"Register as Doctor","Needs categorization"
"Terms & Conditions","Needs categorization"
"Copyright ?? 2022 Pharma Co. All rights reserved.","Needs categorization"
"Have you been diagnosed with any of the following mental health conditions?","Needs categorization"
"Are you currently taking any medications for mental health conditions?","Needs categorization"
"Please list the medications you are taking","Needs categorization"
"Enter medication names","Needs categorization"
"medication names","Needs categorization"
"Please select","Needs categorization"
"Have you experienced any of the following symptoms in the past 6 months?","Needs categorization"
"Have you ever received therapy or counseling before?","Needs categorization"
"Have you ever been diagnosed with any neurological conditions?","Needs categorization"
"Do you have a history of substance use or addiction?","Needs categorization"
"Have you experienced any major life events or traumas that may impact your mental health?","Needs categorization"
"Do you have any chronic physical health conditions?","Needs categorization"
"Select one or more diseases","Needs categorization"
"Select all that apply","Needs categorization"
"change password","Needs categorization"
"Old Password","Needs categorization"
"Please enter your old password.","Needs categorization"
"New Password","Needs categorization"
"Please enter a new password.","Needs categorization"
"Passwords do not match.","Needs categorization"
"Please enter your First Name","Needs categorization"
"Please enter your Email Address","Needs categorization"
"Confirm Password","Needs categorization"
"The old password is incorrect","Needs categorization"
"Password updated successfully","Needs categorization"
"NAAM Women???s Empowerment","Needs categorization"
"80% better sleep quality reported by parents.","Needs categorization"
"65% reduced anxiety/emotional outbursts.","Needs categorization"
"70% improved sensory processing.","Needs categorization"
"Therapy With","Needs categorization"
"Sama???a","Needs categorization"
"Sama???a for kids","Needs categorization"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam???quis.","Needs categorization"
"BECOME SPONSOR","Needs categorization"
"Community Members","Needs categorization"
"Patients","Needs categorization"
"Participating Doctors","Needs categorization"
"K","Needs categorization"
"What our listeners say","Needs categorization"
"Their experience throughout every platform","Needs categorization"
"Our Doctors","Needs categorization"
"follow me","Needs categorization"
"Host","Needs categorization"
"doctor","Needs categorization"
"Get In Touch","Needs categorization"
"We???re Here to Help You Heal","Needs categorization"
"contact-description","Needs categorization"
"Let???s Start Your Journey","Needs categorization"
"Enter Your Name","Needs categorization"
"Phone Number","Needs categorization"
"Email Address","Needs categorization"
"Choose Subject","Needs categorization"
"Your Message","Needs categorization"
"How can we support your healing journey?","Needs categorization"
"Follow SAMAA","Needs categorization"
"Join Our Newsletter","Needs categorization"
"Get free sound therapy tips and updates","Needs categorization"
"Facebook link","Needs categorization"
"Twitter link","Needs categorization"
"Instagram link","Needs categorization"
"Patient list","Needs categorization"
"Doctor list","Needs categorization"
"Feedback list","Needs categorization"
"Patients Booking","Needs categorization"
"My Bookings","Needs categorization"
"This is the Dashboard of the Samaa.","Needs categorization"
"Actions","Needs categorization"
"View","Needs categorization"
"Edit","Needs categorization"
"Go Back","Needs categorization"
"Add New Patient","Needs categorization"
"Create","Needs categorization"
"Smoker","Needs categorization"
"Patient Gender","Needs categorization"
"ID","Needs categorization"
